iataCode,cityName,airportName,countryCode
URS,Kursk Vostochny,Kursk Vostochny Airport,RU
URT,Surat Thani,Surat Thani Airport,TH
URU,Uroubi,Uroubi Airport,PG
URY,Gurayat Domestic,Gurayat Domestic Airport,SA
URZ,Uruzgan,Uruzgan Airport,AF
USA,Concord,Concord Regional Airport,US
USC,Union,Union County Airport/Troy Shelton Field,US
USH,Ushuaia,Ushuaia - Malvinas Argentinas International Airport,AR
USI,Mabaruma,Mabaruma Airport,GY
USK,Usinsk,Usinsk Airport,RU
USL,Useless Loop,Useless Loop Airport,AU
USM,Samui,Samui Airport,TH
USN,Ulsan,Ulsan Airport,KR
USO,Usino,Usino Airport,PG
USQ,Usak,Usak Airport,TR
USR,Ust-Nera,Ust-Nera Airport,RU
USS,Sancti Spiritus,Sancti Spiritus Airport,CU
UST,Northeast Florida,Northeast Florida Regional Airport,US
USU,Francisco B. Reyes,Francisco B. Reyes Airport,PH
UTA,Mutare,Mutare Airport,ZW
UTB,Muttaburra,Muttaburra Airport,AU
UTC,Soesterberg,Soesterberg Air Base,NL
UTD,Nutwood Downs,Nutwood Downs Airport,AU
UTG,Quthing,Quthing Airport,LS
UTH,Udon Thani,Udon Thani International Airport,TH
UTI,Utti,Utti Airport,FI
UTK,Utirik,Utirik Airport,MH
UTM,Tunica,Tunica Municipal Airport,US
UTN,Upington,Upington Airport,ZA
UTO,Indian Mountain LRRS,Indian Mountain LRRS Airport,US
UTP,U-Tapao,U-Tapao International Airport,TH
UTR,Uttaradit,Uttaradit Airport,TH
UTS,Ust-Tsilma,Ust-Tsilma Airport,RU
UTT,Mthatha,Mthatha Airport,ZA
UTU,Ustupo,Ustupo Airport,PA
UTW,Queenstown,Queenstown Airport,ZA
UUA,Bugulma,Bugulma Airport,RU
UUD,Baikal,Baikal International Airport,RU
UUK,Ugnu-Kuparuk,Ugnu-Kuparuk Airport,US
UUN,Baruun-Urt,Baruun-Urt Airport,MN
UUS,Yuzhno-Sakhalinsk,Yuzhno-Sakhalinsk Airport (Khomutovo Airport),RU
UUU,Manumu,Manumu Airport,PG
UVA,Garner,Garner Field,US
UVE,Ouvea Airport (Ouloup Airp,Ouvea Airport (Ouloup Airp,NC
UVF,Hewanorra,Hewanorra International Airport,LC
UVI,Uniao da Vitoria,Uniao da Vitoria Airport,BR
UVL,El Kharga,El Kharga Airport,EG
UVO,Uvol,Uvol Airport,PG
UWA,Ware,Ware Airport,US
UYL,Nyala,Nyala Airport,SD
UYN,Yulin Yuyang,Yulin Yuyang Airport,CN
UYU,Uyuni,Uyuni Airport (Joya Andina Airport),BO
UZC,Uzice-Ponikve,Uzice-Ponikve Airport,RS
UZM,Hope Bay,Hope Bay Aerodrome,CA
UZR,Urzhar,Urzhar Airport,KZ
UZU,Curuzu Cuatia,Curuzu Cuatia Airport,AR
VAA,Vaasa,Vaasa Airport,FI
VAB,Yavarate,Yavarate Airport,CO
VAC,Varrelbusch,Varrelbusch Airport,DE
VAD,Moody,Moody Air Force Base,US
VAF,Valence-Chabeuil,Valence-Chabeuil Airport,FR
VAG,Major Brigadeiro Trompowsky,Major Brigadeiro Trompowsky Airport,BR
VAH,Cap. Av. Vidal Villagomez Toledo,Cap. Av. Vidal Villagomez Toledo Airport,BO
VAI,Vanimo,Vanimo Airport,PG
VAK,Chevak,Chevak Airport,US
VAL,Valenca,Valenca Airport,BR
VAM,Villa,Villa International Airport,MV
VAN,Van Ferit Melen,Van Ferit Melen Airport,TR
VAO,Suavanao,Suavanao Airport,SB
VAP,Rodelillo,Rodelillo Airfield,CL
VAR,Varna,Varna Airport,BG
VAS,Sivas,Sivas Airport,TR
VAT,Vatomandry,Vatomandry Airport,MG
VAU,Vatukoula,Vatukoula Airport,FJ
VAV,Vava'u,Vava'u International Airport,TO
VAW,Varddo Air,Varddo Air,NO
VBA,Ann,Ann Airport,MM
VBC,Mandalay Chanmyathazi,Mandalay Chanmyathazi Airport,MM
VBG,Vandenberg,Vandenberg Air Force Base,US
VBP,Bokpyin,Bokpyin Airport,MM
VBS,Brescia,Brescia Airport (Gabriele D'Annunzio Airport),IT
VBV,Vanuabalavu,Vanuabalavu Airport,FJ
VBY,Visby,Visby Airport,SE
VCA,Can Tho,Can Tho International Airport,VN
VCD,Victoria River Downs,Victoria River Downs Airport,AU
VCE,Venice Marco Polo,Venice Marco Polo Airport,IT
VCF,Valcheta,Valcheta Airport,AR
VCH,Vichadero,Vichadero Airport,UY
VCL,Chu Lai,Chu Lai International Airport,VN
VCP,São Paulo,Viracopos International Airport,Brazil
VCR,Carora,Carora Airport,VE
VCS,Con Dao,Con Dao Airport,VN
VCT,Victoria,Victoria Regional Airport,US
VCV,Southern California Logistics,Southern California Logistics Airport,US
VDA,Ovda,Ovda Airport,IL
VDB,Fagernes,Fagernes Airport,NO
VDC,Pedro Otacilio Figueiredo,Pedro Otacilio Figueiredo Airport,BR
VDE,El Hierro,El Hierro Airport,ES
VDH,Dong Hoi,Dong Hoi Airport,VN
VDI,Vidalia,Vidalia Regional Airport,US
VDM,Gobernador Edgardo Castello,Gobernador Edgardo Castello Airport,AR
VDO,Van Don,Van Don International Airport,VN
VDP,Valle de la Pascua,Valle de la Pascua Airport,VE
VDR,Villa Dolores,Villa Dolores Airport,AR
VDS,Vadso,Vadso Airport,NO
VDY,Vidyanagar,Vidyanagar Airport (Jindal Airport),IN
VDZ,Valdez,Valdez Airport (Pioneer Field),US
VEE,Venetie,Venetie Airport,US
VEG,Maikwak,Maikwak Airport,GY
VEL,Vernal,Vernal Regional Airport,US
VER,General Heriberto Jara,General Heriberto Jara International Airport,MX
VEV,Barakoma,Barakoma Airport,SB
VEX,Tioga,Tioga Municipal Airport,US
VEY,Vestmannaeyjar,Vestmannaeyjar Airport,IS
VFA,Victoria Falls,Victoria Falls Airport,ZW
VGA,Vijayawada,Vijayawada Airport,IN
VGD,Vologda,Vologda Airport,RU
VGO,Vigo-Peinador,Vigo-Peinador Airport,ES
VGS,General Villegas,General Villegas Airport,AR
VGT,North Las Vegas,North Las Vegas Airport,US
VGZ,Villa Garzon,Villa Garzon Airport,CO
VHC,Henrique de Carvalho,Henrique de Carvalho Airport,AO
VHM,Vilhelmina,Vilhelmina Airport,SE
VHN,Culberson,Culberson County Airport,US
VHV,Verkhnevilyuysk,Verkhnevilyuysk Airport,RU
VHY,Vichy,Vichy - Charmeil Airport,FR
VHZ,Vahitahi,Vahitahi Airport,PF
VIA,Angelo Ponzoni,Angelo Ponzoni Municipal Airport,BR
VIB,Villa Constitucion,Villa Constitucion Airport,MX
VIC,Vicenza,Vicenza Airport,IT
VIE,Vienna,Vienna International Airport,Austria
VIG,Juan Pablo Perez Alfonzo,Juan Pablo Perez Alfonzo Airport,VE
VIH,Rolla National,Rolla National Airport,US
VII,Vinh,Vinh International Airport,VN
VIJ,Virgin Gorda,Virgin Gorda Airport,VG
VIL,Dakhla,Dakhla Airport,MA
VIN,Havryshivka Vinnytsia,Havryshivka Vinnytsia International Airport,UA
VIQ,Viqueque,Viqueque Airport,TL
VIR,Virginia,Virginia Airport,ZA
VIS,Visalia,Visalia Municipal Airport,US
VIT,Vitoria,Vitoria Airport,ES
VIU,Viru Harbour,Viru Harbour Airport,SB
VIV,Vivigani,Vivigani Airfield,PG
VIX,Eurico de Aguiar Salles,Eurico de Aguiar Salles Airport,BR
VIY,Velizy,Velizy - Villacoubla Air Base,FR
VJB,Xai-Xai,Xai-Xai Airport,MZ
VJI,Virginia Highlands,Virginia Highlands Airport,US
VJQ,Gurue,Gurue Airport,MZ
VKG,Rach Gia,Rach Gia Airport,VN
VKO,Moscow,Vnukovo International Airport,Russia
VKS,Vicksburg,Vicksburg Municipal Airport,US
VKT,Vorkuta,Vorkuta Airport,RU
VLA,Vandalia,Vandalia Municipal Airport,US
VLC,Valencia,Valencia Airport,ES
VLD,Valdosta,Valdosta Regional Airport,US
VLE,Valle,Valle Airport,US
VLG,Villa Gesell,Villa Gesell Airport,AR
VLI,Bauerfield,Bauerfield International Airport,VU
VLK,Volgodonsk,Volgodonsk Airport,RU
VLL,Valladolid,Valladolid Airport,ES
VLM,Lieutenant Colonel Rafael Pabon,Lieutenant Colonel Rafael Pabon Airport,BO
VLN,Arturo Michelena,Arturo Michelena International Airport,VE
VLP,Vila Rica,Vila Rica Municipal Airport,BR
VLR,Vallenar,Vallenar Airport,CL
VLS,Valesdir,Valesdir Airport,VU
